shop_id,shop_name,address,menus,categories,facilities,awards
6tp2Yw-2ZDC3NQGiAePXCg,미림양장 선릉,서울특별시 강남구 선릉로86길 30,,"중식,요리주점","콜키지 프리,반려동물,단체,아기의자,무선인터넷,웰컴키즈존,콜키지,대관",
AJqEIIKFkAT5pfjOy5nAtg,사색,서울특별시 강남구 언주로81길 57 1층,,"코스요리,한식","발렛,단체,아기의자,무선인터넷,예약금 0원 결제,웰컴키즈존,콜키지,대관",
SMZjOBCSO88v3ipotdNbXQ,반가흑돈 역삼점,서울특별시 강남구 테헤란로13길 18 우진빌딩 1층,,"한식,육류,고기요리,기타 오마카세","주차,노키즈존,단체,무선인터넷,콜키지,대관",
fHNKgfzNSGRgwmfs4q-rgg,금복당 코엑스 스타필드점,서울특별시 강남구 영동대로 513 코엑스 지하1층 P103호,"MEAT,TAPAS 간단메뉴,SOUP,SIDE,SEAFOOD,LUNCH,temp,temp,temp,temp,temp,temp,쭈꾸미볶음,생선구이정식,육회 비빔밥,명태식해수육,게살 크림 고로케,추억의 옛날 떡볶이,피문어통데침 소,피문어통데침 대,포항식물회,제철생선탕,자연산제철회,가자미튀김,참골뱅이,명태식해수육 대,명태식해수육 소,돼지찌개,생대구지리 대,존슨탕,생대구지리 소,묵은지와 명태식해,생감자전 한장,문어라면,명란구이,추억의 옛날 떡볶이,가자미식해와 함께 먹는 김밥,게살 크림 고로케,트러플감자튀김,생감자전,포항식물회,포항식물회 특,가자미와 전복이 들어간 ""보양미역국 정식"",통영산 멍게 비빔밥,육전,문어삼합","한정식,한식,해물,생선요리",주차,
cIt6tloPFp4QqG4SN7WBrg,일품헌 역삼점,서울특별시 강남구 언주로93길 30 역삼빌딩 1층,,샤브샤브,"주차,콜키지 프리,장애인 편의시설,반려동물,발렛,발렛,단체,아기의자,무선인터넷,웰컴키즈존,콜키지",
gcUcitY4xZXASUZhhUH_FQ,삼미미,서울특별시 강남구 논현로87길 41 신일유토빌 1층,,"와인,전통주,칵테일,위스키","발렛,주차,콜키지 프리,단체,무선인터넷,콜키지,대관",
lTQL-_zLKZIDrh3GEsSe7A,크라운족발 강남직영점,서울특별시 강남구 강남대로118길 25 지하1층 크라운족발,,"족발,보쌈","단체,무선인터넷,예약금 0원 결제",
rngq392i8TDlHsewkE9gIg,더기와 압구정본점,서울특별시 강남구 선릉로155길 15 1층,,"한식,백반,가정식,전통주,요리주점","반려동물,발렛,대기공간,예약금 0원 결제,웰컴키즈존,웰컴키즈존,단체,무선인터넷,콜키지",
YfgfVuBOvIvAShmr840eug,매쎄 Mésse,서울 강남구 논현로32길 5 101호,,"프랑스음식,코스요리","주차,노키즈존,자동결제,단체,무선인터넷,예약금 0원 결제,콜키지,대관",
EJwuai5C86okUHw0V6e1wQ,청담생골뱅이 신사역본점,서울특별시 강남구 도산대로17길 4 B1,,"맥주,호프,요리주점","반려동물,자동결제,단체,대기공간,무선인터넷,대관",
RS3JKsp9gPhSe0Ee41Mkew,도시문,서울특별시 강남구 남부순환로351길 4 도곡동 STAY77 지하 1층,,"다이닝바,유러피안음식,주점,와인,칵테일,위스키","장애인 편의시설,주차,단체,무선인터넷,콜키지,대관",
kmBQ3yNh0P_lcWKgIzCQ3w,용용선생 논현점,"서울특별시 강남구 학동로2길 54 1층, 2층",,"중식,주점,요리주점","단체,대기공간,무선인터넷,콜키지",
rIa2KUVL3mXSdC_f_SrCpw,키노에다,서울특별시 강남구 논현로38길 34 2층,,"일식,해물,생선요리,회,사시미,이자카야","단체,무선인터넷,대관",
Z5U5BmNDp1JmASXB6yak6Q,대가한우육회 강남논현점,서울특별시 강남구 강남대로112길 49 1층,,"요리주점,한식,육류,고기요리","주차,예약금 0원 결제,단체,무선인터넷,전문 소믈리에,콜키지,대관",
Mxj35PD10ApEgH_AkcT8yw,노엘베 압구정점,서울특별시 강남구 도산대로51길 39 3층,,양식,"반려동물,자동결제,단체,무선인터넷",
